=== modal probe tag=corpus_v8ref_vs_v7ref ===
script tools/probe_corpus_moves.py | env {'PFENS': '/repo/results/leak_suite/fens.json', 'PBUDGET_MS': '2600'}
A = /tmp/chessathon-v8ref
B = /tmp/chessathon-v7ref

----- tree A (/tree_a) rc=0 -----
=== corpus probe [/tree_a] fens=107 budget=2600ms ===
  57 | round-77-vs-frisky     | ply  35 | Nxe5    | pick=h3e6   | static=   390 | eval_before=   571
  58 | round-77-vs-frisky     | ply  41 | Nb2     | pick=c4b2   | static=   261 | eval_before=   282
  59 | round-80-vs-gmmmmm     | ply   7 | Bd7     | pick=g4f3   | static=   -19 | eval_before=   -66
  60 | round-80-vs-gmmmmm     | ply  11 | Na6     | pick=c5a6   | static=   -47 | eval_before=   -60
  61 | round-80-vs-gmmmmm     | ply  21 | Qf6     | pick=d7c8   | static=   -81 | eval_before=    56
  62 | round-81-vs-magnus-car | ply  38 | Bxf6    | pick=c3f6   | static=   257 | eval_before=   882
  63 | round-82-vs-team7347   | ply  32 | Kf2     | pick=e1f2   | static=     9 | eval_before=  -172
  64 | round-82-vs-team7347   | ply  40 | e4      | pick=e3e4   | static=     0 | eval_before=  -168
  65 | round-82-vs-team7347   | ply  48 | Rh4     | pick=h1h4   | static=    59 | eval_before=    32
  66 | round-82-vs-team7347   | ply  62 | Qc5+    | pick=b6a6   | static=   114 | eval_before=     0
  67 | round-83-vs-404-not-fo | ply  21 | Qd8     | pick=e8g8   | static=   -49 | eval_before=   -51
  68 | round-83-vs-404-not-fo | ply  29 | O-O-O   | pick=e8c8   | static=   -62 | eval_before=   -54
  69 | round-83-vs-404-not-fo | ply  31 | Bg5     | pick=f6g5   | static=   -63 | eval_before=  -174
  70 | round-83-vs-404-not-fo | ply  35 | Qa6     | pick=a7a6   | static=   -21 | eval_before=   -53
  71 | round-83-vs-404-not-fo | ply  39 | Rhd8    | pick=a6c4   | static=   -57 | eval_before=   -43
  72 | round-83-vs-404-not-fo | ply  41 | Kc7     | pick=a6c4   | static=   -41 | eval_before=   -44
  73 | round-83-vs-404-not-fo | ply  75 | Bxe5    | pick=f8h8   | static=   -68 | eval_before=  -124
  74 | round-83-vs-404-not-fo | ply 109 | Ka7     | pick=d8g8   | static=  -248 | eval_before=  -740
  75 | round-83-vs-404-not-fo | ply 115 | Ka8     | pick=a7a8   | static=  -257 | eval_before= -1386
  76 | round-83-vs-404-not-fo | ply 117 | Ka7     | pick=a8a7   | static=  -274 | eval_before=  -988
  77 | round-83-vs-404-not-fo | ply 121 | Re8     | pick=f8g8   | static=  -294 | eval_before= -1879
